open,high,low,close,volume,spread,real_volume
7076.344,7086.418,7066.941,7077.687,64244,1,210590
7077.687,7095.821,7070.971,7094.478,46143,1,149262
7094.478,7117.985,7088.433,7112.612,14368,1,52086
7082.389,7142.836,7034.702,7126.716,303132,1,883961
7126.716,7132.761,7058.21,7124.701,219325,1,623757
7124.701,7205.298,7109.254,7172.388,227365,1,703042
7172.388,7185.82,7142.164,7168.358,133591,1,402418
7168.358,7191.865,7162.985,7175.746,88773,1,285536
7175.746,7183.805,7095.15,7108.582,138912,1,488413
7108.582,7110.597,7058.21,7060.896,114695,1,370025
7060.896,7136.791,7058.21,7128.06,122200,1,412541
7128.731,7160.97,7120.0,7124.701,69895,1,215000
7124.701,7148.88,7119.328,7148.88,11887,1,40914
7180.447,7218.73,7137.463,7151.567,303750,1,802077
7152.239,7174.402,7130.746,7162.313,188718,1,497939
7161.641,7213.357,7124.03,7203.283,204124,1,587163
7203.283,7239.551,7187.835,7229.477,147994,1,460117
7229.477,7268.431,7222.76,7262.387,115537,1,396993
7263.058,7275.819,7233.506,7254.327,115186,1,399710
7253.655,7265.745,7234.85,7241.566,87881,1,287739
7241.566,7263.73,7234.85,7257.685,73202,1,242614
7257.014,7282.536,7254.999,7260.372,62891,1,219657
7260.372,7285.222,7246.939,7281.864,19900,1,77127
7236.865,7236.865,7199.925,7219.402,194281,1,552935
7218.73,7220.074,7153.582,7166.343,215463,1,649939
7166.343,7259.028,7159.627,7250.969,208172,1,679165
7250.969,7279.177,7234.178,7248.282,153374,1,518783
7248.282,7262.387,7222.76,7240.894,102863,1,341908
7241.566,7263.058,7217.387,7221.417,93646,1,306186
7221.417,7313.431,7217.387,7292.61,125313,1,422143
7292.61,7294.625,7263.73,7279.849,76295,1,242602
7279.849,7288.58,7256.342,7287.909,56136,1,185735
7287.909,7293.282,7280.521,7283.879,11893,1,45627
7330.222,7392.012,7324.849,7369.177,201631,1,559863
7369.177,7404.102,7355.072,7389.997,216545,1,612486
7390.669,7410.146,7367.162,7381.938,185015,1,546120
7381.938,7408.131,7379.923,7396.714,105210,1,333953
7396.714,7414.848,7367.162,7370.52,121678,1,397951
7370.52,7392.012,7351.042,7376.565,120643,1,366029
7377.236,7387.982,7354.401,7360.445,76414,1,233553
7359.774,7399.4,7359.102,7395.37,78172,1,244773
7395.37,7404.773,7381.938,7403.43,54618,1,173902
7402.758,7408.131,7373.206,7373.206,17731,1,59622
7354.401,7385.296,7339.625,7342.983,250325,1,634244
7343.654,7380.594,7337.61,7354.401,167213,1,459260
7354.401,7383.281,7342.311,7349.028,129872,1,417493
7348.356,7365.147,7298.655,7310.073,161346,1,517927
7310.073,7312.088,7268.431,7275.148,125506,1,421279
7275.819,7287.909,7238.879,7241.566,107801,1,336714
7241.566,7242.909,7189.178,7193.208,136240,1,476089
7193.208,7195.895,7148.209,7150.224,116968,1,416353
7150.224,7170.373,7140.149,7152.239,70470,1,231706
7151.567,7158.955,7144.851,7158.955,13591,1,48436
7188.507,7197.238,7137.463,7155.597,248314,1,713364
7156.268,7181.79,7085.075,7085.075,230244,1,681052
7085.075,7193.208,7083.732,7181.119,220036,1,690062
7181.119,7189.178,7097.836,7099.179,190308,1,620169
7099.179,7124.03,7092.463,7114.627,98427,1,356454
7114.627,7162.985,7113.955,7127.388,114987,1,365322
7127.388,7146.194,7111.94,7120.672,82840,1,262770
7120.672,7140.821,7107.239,7138.806,73599,1,236983
7139.477,7142.836,7124.701,7134.104,41989,1,135212
7134.104,7138.806,7121.343,7123.358,10159,1,40975
7115.299,7119.328,7062.239,7083.06,221491,1,603484
7083.06,7102.538,7072.986,7083.732,157428,1,466036
7083.732,7126.045,7081.717,7089.776,186300,1,584539
7089.776,7095.821,7021.27,7027.314,168495,1,551903
7027.986,7032.016,7005.151,7028.658,103712,1,367943
7028.658,7033.359,6977.613,6988.36,112472,1,354127
6987.688,7007.837,6976.942,6982.987,101843,1,343864
6982.315,7003.807,6982.315,7002.464,60271,1,194861
7002.464,7007.165,6980.3,6995.076,53261,1,175041
6995.076,6995.748,6982.315,6983.658,12394,1,46508
7044.105,7085.747,7035.374,7075.672,177061,1,501084
7075.001,7092.463,7048.135,7090.448,170089,1,481439
7091.12,7109.926,7062.911,7078.359,162843,1,475950
7078.359,7115.97,7064.926,7073.657,148874,1,478948
7073.657,7097.836,7019.926,7067.613,128499,1,423100
7068.284,7088.433,7055.523,7065.598,93196,1,304001
7065.598,7125.373,7060.896,7100.523,105406,1,335879
7100.523,7127.388,7099.179,7126.045,56602,1,193648
7126.045,7136.119,7107.239,7122.015,52605,1,177791
7121.343,7130.746,7108.582,7111.94,9902,1,42715
7137.463,7138.806,7091.791,7118.657,167724,1,448039
7118.657,7132.761,7089.776,7124.701,161847,1,459855
7125.373,7152.239,7079.702,7081.045,156337,1,491952
7080.374,7093.806,7036.046,7042.762,144182,1,465690
7043.434,7084.403,7037.389,7075.001,77946,1,251049
7075.001,7089.776,7066.941,7078.359,66552,1,199934
7078.359,7119.328,7068.284,7113.955,82339,1,250968
7113.955,7130.075,7101.194,7128.731,53025,1,163037
7129.403,7131.418,7111.269,7117.985,33031,1,104248
7117.985,7124.03,7109.926,7122.015,6039,1,24152
7079.702,7104.552,7041.419,7070.971,232953,1,660332
7071.642,7097.164,7064.254,7090.448,159646,1,441553
7091.12,7143.507,7087.09,7137.463,178100,1,568139
7136.791,7169.701,7123.358,7154.253,137188,1,437843
7153.582,7187.164,7149.552,7170.373,99378,1,338318
7170.373,7181.119,7140.149,7174.402,111039,1,378240
7174.402,7206.641,7167.686,7184.477,105938,1,355804
7184.477,7193.208,7175.746,7183.134,54710,1,185178
7182.462,7197.91,7173.731,7191.865,41291,1,134788
7191.193,7214.701,7191.193,7203.283,12883,1,49586
7170.373,7197.238,7138.806,7141.492,218782,1,600754
7140.821,7158.955,7130.746,7144.179,157178,1,462013
7144.179,7152.239,7105.896,7122.687,191082,1,586158
7122.687,7132.089,7103.881,7117.985,120035,1,386029
7117.985,7144.179,7097.836,7110.597,114702,1,386419
7110.597,7128.06,7101.866,7115.299,72613,1,244658
7115.299,7158.955,7112.612,7156.94,84178,1,284139
7156.94,7156.94,7128.731,7134.776,63408,1,212556
7134.776,7139.477,7122.015,7133.433,38644,1,129074
7132.761,7136.791,7107.239,7111.269,13835,1,55927
7050.822,7076.344,7028.658,7075.672,206055,1,572807
7075.001,7095.821,7056.866,7093.135,172693,1,504809
7093.135,7183.805,7089.776,7182.462,206216,1,726903
7182.462,7224.103,7175.746,7216.044,145102,1,536893
7216.044,7255.67,7206.641,7224.775,119195,1,443970
7224.103,7253.655,7212.014,7220.074,86899,1,287758
7220.074,7237.536,7200.596,7201.939,92910,1,329705
7201.939,7212.014,7183.805,7204.626,66121,1,219011
7204.626,7218.73,7190.522,7201.939,47246,1,154846
7201.939,7212.686,7188.507,7190.522,10075,1,40765
7260.372,7295.968,7248.954,7274.476,183195,1,534898
7273.804,7302.685,7263.058,7285.222,160947,1,493007
7284.551,7304.7,7265.073,7295.297,121916,1,411133
7295.297,7331.565,7291.939,7327.535,117786,1,400846
7328.207,7342.983,7318.804,7327.535,84000,1,281291
7326.864,7359.774,7325.52,7349.699,81314,1,281197
7349.699,7352.386,7336.938,7342.983,63021,1,214552
7342.983,7373.206,7340.968,7359.102,61707,1,226877
7358.43,7369.177,7335.595,7351.042,54142,1,178220
7350.371,7360.445,7346.341,7347.013,14017,1,51405
7349.028,7359.774,7254.327,7271.79,262142,1,780181
7271.79,7305.371,7263.73,7279.849,170869,1,528045
7280.521,7285.894,7238.208,7238.879,169874,1,556906
