open,high,low,close,volume,spread,real_volume,ema_9,sma_20,sma_200,rsi,sma_20_bb,std_20_bb,upper_band,lower_band,band_width,dist_sma_20,dist_sma_200,true_range,atr,atr_norm
7313.36,7318.058,7296.58,7296.58,74564,1,271784,-0.0037170207605021766,-0.010091049505384753,0.03718430829538755,65.48232179996211,7222.94985,53.76936592059398,7330.488581841188,7115.411118158812,0.029776956527307927,0.01009104950538471,0.0,21.478000000000065,36.67600000000012,0.005026464453209603
7296.58,7304.635,7281.143,7295.909,57095,1,262143,-0.002900314610904675,-0.008854654025975406,0.03718430829538755,67.1876091224422,7231.30625,51.29400619429762,7333.894262388595,7128.718237611404,0.028373300436168203,0.008854654025975382,0.0,23.49200000000019,35.333642857143005,0.004842939085060272
7295.909,7310.675,7295.238,7305.306,12355,1,47945,-0.003346327337694577,-0.008898422598587863,0.03718430829538755,66.66679804974954,7240.3003,47.37181682026527,7335.043933640531,7145.556666359469,0.026171188960361434,0.00889842259858789,0.0,15.436999999999898,33.51178571428584,0.004587321285964729
7274.431,7287.855,7256.308,7269.732,202313,1,572919,0.0012245903779644074,-0.0033052937852453557,0.03718430829538755,57.279247309151614,7245.7034,43.972074058311414,7333.6475481166235,7157.759251883377,0.02427484076055975,0.0033052937852454042,0.0,48.99799999999959,35.28571428571435,0.004853784745533171
7269.732,7275.773,7221.406,7248.925,174921,1,553591,0.003278769622539146,3.70537700418172e-05,0.03718430829538755,52.80900757327188,7249.1936000000005,41.08454405171128,7331.362688103423,7167.024511896578,0.022669856162600716,-3.7053770041810785e-05,0.0,54.36700000000019,37.58692857142868,0.005185172776850178
7248.925,7257.651,7224.762,7239.528,138943,1,444710,0.003664830644877881,0.0016364257448828745,0.03718430829538755,50.55187928380683,7251.37495,39.22204823750169,7329.819046475004,7172.930853524997,0.02163564758846287,-0.0016364257448828303,0.0,32.889000000000124,38.354071428571515,0.0052978690639184645
7239.528,7258.322,7214.023,7232.145,115880,1,412921,0.0037515447014795367,0.0027796041146852524,0.03718430829538755,51.345230062066996,7252.2475,38.551458641940265,7329.350417283881,7175.14458271612,0.02126317869981154,-0.0027796041146851956,0.0,44.29899999999998,39.84028571428579,0.00550877861468289
7231.474,7246.912,7218.721,7238.857,83646,1,290869,0.002256678396059586,0.0020677021247967886,0.03718430829538755,55.32406529243995,7253.824799999999,37.239158264840896,7328.303116529682,7179.346483470317,0.02053490912261409,-0.0020677021247966967,0.0,28.191000000000713,38.2582142857144,0.005285118118193853
7238.857,7254.966,7232.145,7233.488,67018,1,217166,0.002400476473210844,0.0028996315470490863,0.03718430829538755,60.35350685117062,7254.462450000001,36.74869269207411,7327.959835384149,7180.9650646158525,0.020262668913297192,-0.002899631547049033,0.0,22.820999999999913,36.77207142857151,0.005083587811104616
7233.488,7234.159,7212.009,7224.762,82757,1,315098,0.002888933117880299,0.004083054915857254,0.03718430829538755,46.54098068796191,7254.261099999999,36.90745305975582,7328.076006119511,7180.446193880487,0.02035077180211001,-0.00408305491585731,0.0,22.149999999999636,33.368142857142956,0.004618580218579236
